id,text,label
0,"#anywere &#8220;@TheCooleyShow: LA = palm trees and great weather 
Any were else = horrible weather and no bitches&#8221;",1
1,RT @OfficialA1King: The face you make when you see a hoe trying to preach on twitter http://t.co/2T1UkUDQBw,1
2,bitch get off my twitter hoe &#128074;,1
3,I can taste loud n pussy on my tongue &#128541;,1
4,Diabetes galore &#128514;&#128514;&#128514;&#128514;&#128514; RT @TIME: Colorado health officials recommend pot brownie ban http://t.co/Z59oy20TMp,2
5,@LaneBelgarde @A7XDemery you Sick bitch didnt even invite me,1
6,RT @djMemphis10: Never hurt your Girlfriend to make a hoe happy &#128175; #djmemphis10,1
7,This is why nothing gets done. Morons like Coburn trying 2 ad a gun amendment 2 a public works bill. Push back on the #teabagger #morningjoe,2
8,RT @ccancel14: Miserable bitches talk the most shit &#128514;&#9996;&#65039;,1
9,Its gorg out! RT @@anggxo: This bitch thinks its june or something @BriiiXO http://t.co/mFVCmym,1
10,Know why the ultimate warrior died? God LOVES fag #toosoon ? He was an anti-gay crusader so a little light jokes are necessary,0
11,@eonline she looks like a real dyke now,1
12,Fight me den hoe,1
13,You got wild bitches tellin you liessss,1
14,@makenzies_mask ur a boss ass bitch,1
15,"I really wanna have a talk about life with the ""fuck her right in the pussy"" dude while smokin a blunt before I die",1
16,RT @nick_pertile: Oh my goodness do I hate Chinese people. Fucking zipperheads,0
17,I'm not a ho because I think two men and one woman together is a THREESOME and NOT a TRAIN. #getyamindright,1
18,"RT @jogonzalez_23: &#8220;@shinglewarf: #single http://t.co/zLzg6sjBbh&#8221;

NOOO ""my nuts bitch"" &#128514;&#128553;&#128553;&#128553;&#128553;&#128553;",1
19,RT @itsDonLeach: You're still a pussy @BarackObama,1
20,This ma niggah @trigga_tre123 &#128076;,1
21,The movie #abouttime a hard ass chick flick. This nigga goes back in time if he but too quick n fucks the bitch over n over lol,1
22,I got some yard work i need done....you got me? RT @MidCityAce: Control your excitement sir... &#8220;@11wdNICK: Lets gooooo Teena bitch!!!&#8221;,1
23,Seaside smell like stank ass pussy bruh&#128514;&#128514;,1
24,Not protected in the state of Utah. There is no fear of queer couples forcing churches to marry them. They do not legally have to do so.,1
25,Back in this bitch again....,1
26,All y'all bitches corny lol,1
27,@Ish_MallyMal August is trash,2
28,RT @Tae_Rhodes: &#8220;@kim92493: &#8220;@Tae_Rhodes: @kim92493 @patpatbush uhhh you've been judged&#8221; it happens. #whitepower...I'll hang you nigger&#8221; wo&#8230;,0
29,"Sure I got a nice car, a 60 inch tv, stainless steel appliances in my apartment and a few thousand twitter followers but I ain't got no hoes",1
30,"@ThequeenSOxILL I'd rather ask yours, is she a nappy headed hoe too? And is your grandma as well? I'd be ashamed to be in your family.",1
31,RT @iDeepuDJ: I always waste my time on irrelevant bitches! &#128528;,1
32,RT @PlMPCESS: im so fucking done with @sprint i fucking hate you guys and your insurance policy is trash and omg square the fuck up,1
33,RT @LiveAndUncut: When I say Tainted I don't necessarily mean hoe or scandalous. It could be a number of things.,2
34,"'Every bitch got a fat ass or she $3,000 from it' #RNS",1
35,"Remember when I told yall bout my coworker not lookin out a couple weeks back?.. Karma's a hoe, got his ass.",1
